loan_id,customer_id,branch_id,loan_type,loan_amount,interest_rate,loan_term,loan_status,disbursement_date
LOAN000072,CUST003582,BR028,Personal Loan,947442,16.26,54,Active,2023-09-28
LOAN000073,CUST004766,BR144,Personal Loan,546712,10.75,33,Closed,2024-10-12
LOAN000074,CUST002882,BR122,Education Loan,1467090,,98,Closed,2023-04-08
LOAN000075,CUST001001,BR092,Personal Loan,869561,8.14,53,Defaulted,2026-02-02
LOAN000076,CUST004356,BR031,Personal Loan,546357,11.64,42,Active,2021-03-24
LOAN000077,CUST000162,BR032,Education Loan,1303874,10.77,106,Closed,2017-12-03
LOAN000078,CUST001416,BR054,Gold Loan,73017,14.61,32,Active,2026-05-21
LOAN000079,CUST002458,BR146,Gold Loan,394000,9.74,8,Active,2015-02-28
LOAN000080,CUST000413,BR123,Auto Loan,1006922,15.4,76,Defaulted,2023-04-03
LOAN000081,CUST004417,BR042,Gold Loan,137977,15.95,15,Closed,2025-01-12
LOAN000082,CUST001630,BR037,Education Loan,1482268,9.96,115,Active,2022-06-04
LOAN000083,CUST001388,BR012,Gold Loan,218513,14.51,13,Active,2022-12-24
LOAN000084,CUST003736,BR092,Personal Loan,389000,9.04,18,ACTIVE,2023-08-10
LOAN000085,CUST003782,BR073,Home Loan,5216672,12.19,232,Closed,2022-12-20
LOAN000086,CUST002571,BR003,Business Loan,2985324,16.37,60,Closed,2023-10-28
LOAN000087,CUST002435,BR106,Education Loan,2011175,,78,Pending Approval,2017-04-22
LOAN000088,CUST002669,BR012,Gold Loan,402362,11.09,27,ACTIVE,2025-05-03
LOAN000089,CUST002734,BR014,Auto Loan,737938,9.98,75,Closed,2026-05-26
LOAN000090,CUST800001,BR137,Personal Loan,756641,9.08,34,Closed,2022-04-05
LOAN000091,CUST000532,BR143,Personal Loan,258840,16.04,59,Closed,2026-03-23
LOAN000092,CUST000778,BR008,Education Loan,2206305,11.32,98,Active,2017-08-18
LOAN000093,CUST001746,BR131,Auto Loan,529737,13.79,59,Active,2022-11-04
LOAN000094,CUST000760,BR038,Home Loan,6269193,10.26,171,Closed,2024-12-30
LOAN000095,CUST004343,BR077,Auto Loan,1126933,16.07,78,Active,2022-07-30
LOAN000096,CUST002250,BR126,Personal Loan,132191,10.22,18,Active,2022-02-12
LOAN000097,CUST004753,BR091,Gold Loan,418529,13.21,33,Closed,2024-09-22
LOAN000098,CUST002678,BR086,Gold Loan,307941,9.59,21,Active,2024-12-05
LOAN000099,CUST003647,BR083,Auto Loan,1735027,15.82,37,Closed,2021-07-16
LOAN000100,CUST004720,BR041,Personal Loan,225835,10.75,14,Closed,2017-06-21
LOAN000101,CUST000146,BR042,Education Loan,690437,9.29,82,Defaulted,2025-09-24
LOAN000102,CUST001561,BR037,Business Loan,2367956,9.2,84,Closed,2025-08-11
LOAN000103,CUST002955,BR128,Home Loan,8202008,13.52,189,Closed,2026-05-21
LOAN000104,CUST000509,BR040,Gold Loan,451023,14.37,7,pending approval,2026-06-09
LOAN000105,CUST000023,BR128,Home Loan,7576050,10.13,189,Active,2025-09-10
LOAN000106,CUST002292,BR049,Personal Loan,128294,16.24,56,Pending Approval,2026-07-30
LOAN000107,CUST000858,BR109,Gold Loan,470796,15.46,12,Active,2026-01-14
LOAN000108,CUST002660,BR048,Home Loan,7233790,10.55,145,Active,2019-05-25
LOAN000109,CUST002240,BR038,Home Loan,3756011,8.62,218,Closed,2026-02-03
LOAN000110,CUST002976,BR070,Personal Loan,382832,9.04,43,Closed,2019-05-22
LOAN000111,CUST002852,BR118,Auto Loan,1686739,15.17,42,actve,2026-06-21
LOAN000112,CUST004381,BR060,Auto Loan,1387285,9.78,74,Active,2022-02-10
LOAN000113,CUST001115,BR149,Personal Loan,443503,10.27,40,Active,2016-06-06
LOAN000114,CUST002163,BR118,Business Loan,1094093,10.78,88,Active,2018-04-05
LOAN000115,CUST004145,BR046,Home Loan,4417225,12.42,228,Active,2025-11-16
LOAN000116,CUST000242,BR126,Gold Loan,67780,14.18,20,Active,2024-01-01
LOAN000117,CUST002428,BR104,Home Loan,5836435,9.66,125,ACTIVE,2025-03-30
LOAN000118,CUST004461,BR080,Home Loan,7385937,11.66,129,Active,2023-02-18
LOAN000119,CUST004736,BR057,Home Loan,3978825,11.44,168,Closd,2022-08-23
LOAN000120,CUST002006,BR005,Gold Loan,325427,8.53,23,Closd,2022-03-07
LOAN000121,CUST003796,BR139,Auto Loan,1572136,12.63,77,Active,2020-11-17
LOAN000122,CUST000113,BR088,Auto Loan,1703728,8.81,56,Defaulted,2026-07-21
LOAN000123,CUST800002,BR136,Personal Loan,168193,8.45,50,Active,2018-05-16
LOAN000124,CUST001436,BR054,Auto Loan,768307,16.19,33,Active,2025-02-21
LOAN000125,CUST000925,BR134,Home Loan,2042565,,207,Active,2021-03-25
LOAN000126,CUST002277,BR031,Gold Loan,241310,15.55,13,Closed,2026-07-12
LOAN000127,CUST002693,BR107,Auto Loan,1283012,12.67,72,CLOSED,2025-05-27
LOAN000128,CUST004685,BR076,Personal Loan,681126,14.55,53,Closed,2015-05-26
LOAN000129,CUST000054,BR086,Personal Loan,505175,16.28,42,Active,2023-09-23
LOAN000130,CUST800003,BR150,Business Loan,964058,15.02,62,Closed,2018-05-19
LOAN000131,CUST000214,BR050,Education Loan,2388304,12.19,48,Active,2023-03-31
LOAN000132,CUST004368,BR046,Education Loan,109809,14.78,69,Active,2021-03-20
LOAN000133,CUST001195,BR095,Gold Loan,443050,-2.0,19,Closd,2023-03-25
LOAN000134,CUST000453,BR017,Business Loan,4073030,12.3,80,Active,2017-08-12
LOAN000135,CUST001491,BR115,Home Loan,8799205,10.5,209,Pending Approval,2024-02-10
LOAN000136,CUST003274,BR017,Gold Loan,249753,9.69,25,Active ,2026-05-23
LOAN000137,CUST001567,BR137,Gold Loan,73919,14.41,14,Active,2015-07-24
LOAN000138,CUST000754,BR049,Gold Loan,476764,15.95,13,Pending Approval,2025-10-03
LOAN000139,CUST002142,BR096,Auto Loan,207916,9.87,67,Active,2018-06-22
LOAN000140,CUST001705,BR086,Home Loan,2308478,15.88,194,Active,2026-02-07
LOAN000141,CUST001207,BR083,Auto Loan,883810,13.31,78,Active,2019-02-22
LOAN000142,CUST004302,BR020,Education Loan,551587,11.5,66,Closed,2019-11-30
LOAN000143,CUST002453,BR063,Home Loan,2446339,7.95,212,Closed,2025-10-09
LOAN000144,CUST002978,BR114,Gold Loan,45637,8.19,29,closed,2022-10-20
LOAN000145,CUST001225,BR075,Education Loan,1766832,13.84,67,Active,2025-03-15
LOAN000146,CUST004195,BR141,Home Loan,8566984,9.95,188,Closed,2024-06-19
LOAN000147,CUST004475,BR098,Personal Loan,853922,15.23,52,Closed,2026-01-13
LOAN000148,CUST001263,BR149,Auto Loan,1506002,11.5,25,Pending Approval,2025-12-21
LOAN000149,CUST003454,BR110,Home Loan,5100685,11.17,163,Active,2025-07-29
LOAN000150,CUST002400,BR083,Auto Loan,1758701,11.81,41,Active,2026-05-04
LOAN000151,CUST003205,BR020,Personal Loan,,12.08,44,Active,2020-04-07
LOAN000152,CUST001027,BR015,Education Loan,2354131,16.25,96,Active,2024-12-25
LOAN000153,CUST004825,BR032,Business Loan,4876722,7.84,73,Active,2023-10-20
LOAN000154,CUST004261,BR126,Business Loan,1213834,15.05,47,Active,2024-06-07
LOAN000155,CUST002273,BR063,Auto Loan,372664,14.5,82,Active,2012-03-19
LOAN000156,CUST002770,BR131,Business Loan,4448409,11.6,39,Active,2022-04-23
LOAN000157,CUST002376,BR074,Personal Loan,711182,14.64,37,actve,2026-07-03
LOAN000158,CUST002649,BR044,Business Loan,3800406,10.9,81,Active,2025-08-11
LOAN000159,CUST001595,BR123,Personal Loan,614218,9.16,45,Active,2019-08-21
LOAN000160,CUST001427,BR089,Gold Loan,165101,7.58,35,Active ,2015-09-01
LOAN000161,CUST000733,BR020,Auto Loan,686849,12.47,65,Active,2024-01-14
LOAN000162,CUST000531,BR047,Education Loan,1288378,13.16,40,Active,2022-04-13
LOAN000163,CUST800004,BR022,Auto Loan,1688279,8.96,42,Active,2018-09-03
LOAN000164,CUST002635,BR103,Gold Loan,281202,8.31,9,Defaulted,2023-04-07
LOAN000165,CUST002768,BR109,Gold Loan,179445,16.37,19,pending approval,2022-03-17
LOAN000166,CUST000766,BR115,Home Loan,3513739,8.63,139,Defaulted,2013-06-08
LOAN000167,CUST002787,BR900,Auto Loan,469686,8.72,42,Defaulted,2023-12-15
LOAN000168,CUST000365,BR052,Personal Loan,339227,9.93,17,Active,2013-07-08
LOAN000169,CUST002997,BR064,Home Loan,8232379,12.02,181,Active,2017-09-02
LOAN000170,CUST003573,BR004,Personal Loan,802010,7.56,18,Active,2026-04-10
LOAN000171,CUST003222,BR136,Business Loan,4007641,8.24,48,Active,2020-01-03
LOAN000172,CUST003558,BR060,Gold Loan,188043,14.79,6,actve,2025-08-09
LOAN000173,CUST000931,BR030,Personal Loan,721079,15.83,57,Closed,2026-04-11
LOAN000174,CUST000200,BR033,Home Loan,4390354,16.28,150,Closed,2015-06-17
LOAN000175,CUST003349,BR009,Personal Loan,647190,11.14,13,Active,2021-06-08
LOAN000176,CUST004096,BR063,Personal Loan,944065,13.16,26,actve,2021-05-18
LOAN000177,CUST000318,BR148,Gold Loan,38192,7.93,12,Closed,2026-03-10
LOAN000178,CUST004569,BR148,Personal Loan,865659,13.39,34,closed,2022-02-12
LOAN000179,CUST003249,BR050,Auto Loan,262466,13.78,42,Closed,2026-02-08
LOAN000180,CUST004359,BR005,Gold Loan,95719,12.57,13,Active,2022-02-27
LOAN000181,CUST002535,BR021,Auto Loan,970683,10.2,35,Active,2024-09-15
LOAN000182,CUST001072,BR050,Business Loan,842268,14.46,45,Closed,2023-02-04
LOAN000183,CUST002577,BR095,Home Loan,8417898,15.62,220,Closed,2022-12-11
LOAN000184,CUST003810,BR075,Business Loan,1484499,9.56,28,Closed,2023-07-30
LOAN000185,CUST004557,BR901,Business Loan,519058,13.24,62,DEFAULTED,2019-04-08
LOAN000186,CUST003412,BR072,Auto Loan,1283029,9.8,79,Pending Approval,2018-09-22
LOAN000187,CUST002119,BR084,Gold Loan,234848,10.33,22,Active,2026-05-03
LOAN000188,CUST003344,BR032,Business Loan,1868967,10.15,32,Closed,2026-01-29
LOAN000189,CUST001975,BR074,Business Loan,3514385,11.16,30,Active,2018-10-18
LOAN000190,CUST000451,BR116,Auto Loan,895384,10.38,37,Closed,2026-03-09
LOAN000191,CUST001692,BR025,Gold Loan,272911,10.14,8,Closed,2023-08-08
LOAN000192,CUST002132,BR045,Home Loan,1562753,12.97,151,Active,2018-03-22
LOAN000193,CUST002079,BR096,Auto Loan,202940,15.28,73,Active,2017-03-24
LOAN000194,CUST000034,BR026,Gold Loan,231423,8.11,31,Closed,2024-11-13
LOAN000195,CUST001333,BR074,Business Loan,351908,10.14,76,Closed,2021-11-17
LOAN000196,CUST004902,BR129,Gold Loan,152736,10.59,20,Active,2023-05-23
LOAN000197,CUST004976,BR043,Home Loan,6015817,12.86,124,Active,2014-09-09
LOAN000198,CUST001202,BR121,Business Loan,1877474,8.34,48,Active,2016-05-08
LOAN000199,CUST001727,BR071,Education Loan,1239178,-2.0,105,Active,2025-02-23
LOAN000200,CUST004802,BR085,Business Loan,462481,8.93,46,Active,2024-07-25
LOAN000201,CUST000984,BR072,Education Loan,1284859,10.07,71,Active,2026-02-19
LOAN000202,CUST003851,BR034,Home Loan,5217509,10.16,181,Active,2024-12-29
LOAN000203,CUST002695,BR123,Gold Loan,131991,10.6,25,Defaulted,2025-11-01
LOAN000204,CUST001057,BR142,Auto Loan,,16.2,30,Active,2025-12-24
LOAN000205,CUST004271,BR088,Personal Loan,387909,9.52,36,Closd,2025-09-30
LOAN000206,CUST002142,BR042,Home Loan,4545224,11.31,230,Active,2024-03-30
LOAN000207,CUST001506,BR055,Home Loan,5286314,13.04,131,Active,2026-04-07
LOAN000208,CUST002987,BR073,Home Loan,2138862,11.05,167,Active,2022-11-12
LOAN000209,CUST002574,BR058,Home Loan,8192449,11.3,141,Pending Approval,2024-08-01
LOAN000210,CUST000213,BR136,Personal Loan,422786,11.28,29,Active,2022-12-01
LOAN000211,CUST000880,BR036,Home Loan,3592064,16.1,159,Active,2018-10-21
LOAN000212,CUST002772,BR114,Personal Loan,331046,8.49,42,Active,2024-07-02
LOAN000213,CUST003762,BR092,Education Loan,781239,10.71,57,Active,2023-11-03
LOAN000214,CUST001746,BR073,Home Loan,4459516,14.35,148,Defaulted,2026-07-27
LOAN000215,CUST004600,BR120,Personal Loan,624026,16.16,42,Closed,2022-01-30
LOAN000216,CUST000411,BR068,Personal Loan,780238,9.89,40,Closed,2026-06-12
LOAN000217,CUST002077,BR028,Auto Loan,1049667,12.46,41,Closed,2014-02-16
LOAN000218,CUST003474,BR044,Business Loan,4796978,8.4,80,Defaulted,2026-06-30
LOAN000219,CUST000738,BR119,Gold Loan,185995,15.26,6,Closed,2022-05-18
LOAN000220,CUST002832,BR119,Home Loan,6081009,10.36,208,CLOSED,2018-10-12
LOAN000221,CUST004989,BR104,Auto Loan,480186,11.03,54,Pending Approval,2024-11-09
LOAN000222,CUST004060,BR142,Auto Loan,802596,7.9,53,Active,2021-03-04
LOAN000223,CUST001868,BR108,Personal Loan,684156,13.28,45,Closed,2019-10-17
LOAN000224,CUST004509,BR130,Home Loan,5209303,8.12,163,Active,2025-03-19
LOAN000225,CUST003993,BR043,Auto Loan,373603,11.64,44,Active,2021-05-09
LOAN000226,CUST000978,BR068,Gold Loan,433821,13.51,23,Active,2023-04-03
LOAN000227,CUST003329,BR099,Home Loan,4550158,15.12,155,actve,2024-02-13
LOAN000228,CUST003281,BR145,Personal Loan,858855,13.88,48,Closed,2022-09-07
LOAN000229,CUST001660,BR110,Personal Loan,672687,9.25,15,Active,2023-09-29
LOAN000230,CUST001599,BR003,Auto Loan,1551622,11.69,40,Active,2026-05-12
LOAN000231,CUST001166,BR108,Personal Loan,784064,9.4,30,Active,2016-05-29
LOAN000232,CUST002805,BR048,Education Loan,2333737,11.62,47,Active,2025-10-13
LOAN000233,CUST000606,BR021,Personal Loan,518008,8.31,49,Active,2022-06-08
LOAN000234,CUST000767,BR120,Gold Loan,445301,15.7,25,Active,2023-05-06
LOAN000235,CUST004081,BR106,Education Loan,366437,15.0,106,ACTIVE,2022-10-14
LOAN000236,CUST001247,BR144,Personal Loan,416166,12.12,20,Active,2015-06-18
LOAN000237,CUST003083,BR078,Auto Loan,1797618,12.45,43,Active,2019-04-09
LOAN000238,CUST004059,BR146,Auto Loan,1110518,12.27,46,Active,2015-12-24
LOAN000239,CUST000089,BR112,Education Loan,2231625,13.49,99,Active,2026-07-21
LOAN000240,CUST001043,BR077,Gold Loan,240716,14.17,12,Active,2025-10-25
LOAN000241,CUST000202,BR144,Gold Loan,457836,14.72,33,Active,2022-05-02
LOAN000242,CUST001945,BR143,Education Loan,1403884,10.13,74,Active,2019-09-28
LOAN000243,CUST001462,BR108,Personal Loan,828597,10.77,13,Active,2026-04-03
LOAN000244,CUST004274,BR091,Gold Loan,284853,15.06,24,Closed,2022-07-08
LOAN000245,CUST004146,BR030,Business Loan,1295194,8.58,48,ACTIVE,2024-08-28
LOAN000246,CUST001318,BR111,Personal Loan,842609,11.73,33,Closed,2023-02-26
LOAN000247,CUST001577,BR064,Auto Loan,769117,9.61,65,Defaulted,2022-12-23
LOAN000248,CUST002633,BR083,Education Loan,2086553,10.6,47,Active,2026-07-11
LOAN000249,CUST002737,BR037,Education Loan,767575,11.2,60,Active,2021-12-29
LOAN000250,CUST000884,BR044,Auto Loan,864791,13.93,27,actve,2023-04-13
LOAN000251,CUST003423,BR020,Personal Loan,222111,8.59,45,Active,2025-08-03
LOAN000252,CUST001004,BR028,Auto Loan,983606,10.78,39,Active,2021-11-01
LOAN000253,CUST004524,BR051,Personal Loan,456169,12.61,51,Active,2025-12-21
LOAN000254,CUST001185,BR097,Business Loan,2826267,14.78,38,Closed,2026-05-03
LOAN000255,CUST004858,BR054,Gold Loan,284271,13.35,26,Closed,2026-07-03
LOAN000256,CUST001396,BR130,Home Loan,6662874,12.43,210,Closed,2018-01-08
LOAN000257,CUST001587,BR103,Personal Loan,643331,10.01,38,Active,2026-06-22
LOAN000258,CUST000544,BR093,Auto Loan,1005143,16.28,41,Active,2026-01-24
LOAN000259,CUST000094,BR080,Education Loan,2102438,14.1,94,Active,2025-09-13
LOAN000260,CUST002926,BR087,Auto Loan,1440420,,45,Active,2019-01-05
LOAN000261,CUST004120,BR090,Business Loan,,9.47,49,Closed,2025-10-11
LOAN000262,CUST002200,BR065,Education Loan,920625,13.24,69,Closed,2023-12-28
LOAN000263,CUST000413,BR065,Auto Loan,802451,12.46,38,Active,2019-09-27
LOAN000264,CUST000097,BR056,Education Loan,1579655,12.69,95,Closed,2022-02-20
LOAN000265,CUST003344,BR091,Gold Loan,27153,10.96,23,ACTIVE,2026-04-08
LOAN000266,CUST000173,BR140,Auto Loan,1713661,,53,Active,2023-03-28
LOAN000267,CUST000137,BR073,Auto Loan,475830,9.07,49,Active,2026-02-14
LOAN000268,CUST003752,BR011,Gold Loan,199951,9.32,11,Active,2023-07-12
LOAN000269,CUST003433,BR117,Personal Loan,362224,10.45,56,Active,2023-09-09
LOAN000270,CUST004143,BR086,Personal Loan,179456,14.9,20,Pending Approval,2024-11-22
LOAN000271,CUST002453,BR013,Education Loan,2134548,15.86,106,Closed,2026-02-20
LOAN000272,CUST004920,BR022,Education Loan,1887801,10.45,62,Active,2011-11-03
LOAN000273,CUST000245,BR121,Business Loan,220311,9.41,93,Active,2020-12-24
LOAN000274,CUST000276,BR087,Gold Loan,378079,13.92,18,Active,2022-05-09
LOAN000275,CUST002243,BR062,Home Loan,4548286,14.62,212,Closed,2023-06-09
LOAN000276,CUST002469,BR053,Gold Loan,266661,13.65,16,Active,2014-07-08
LOAN000277,CUST004644,BR131,Education Loan,526617,8.35,81,Closed,2018-06-16
LOAN000278,CUST000444,BR015,Home Loan,2968145,11.17,190,Active,2021-10-22
LOAN000279,CUST004461,BR054,Personal Loan,545245,13.31,32,Closed,2022-09-12
LOAN000280,CUST002804,BR009,Home Loan,4117959,7.6,206,Active,2024-08-13
LOAN000281,CUST003578,BR135,Business Loan,3931952,7.56,29,Active,2023-02-12
LOAN000282,CUST003203,BR120,Auto Loan,1514333,11.56,69,Closed,2025-04-29
LOAN000283,CUST003359,BR041,Auto Loan,770357,8.09,29,Active,2021-10-20
LOAN000284,CUST002673,BR007,Home Loan,7055550,15.45,167,Active,2017-03-17
LOAN000285,CUST002950,BR029,Personal Loan,613248,11.35,53,Active,2020-04-04
LOAN000286,CUST001139,BR147,Gold Loan,178765,13.59,19,Pending Approval,2013-03-10
LOAN000287,CUST003057,BR138,Gold Loan,75190,16.42,31,Active,2022-01-17
LOAN000288,CUST002242,BR049,Education Loan,631163,8.53,116,Active,2026-05-27
LOAN000289,CUST004125,BR042,Education Loan,2482017,14.97,103,Defaulted,2025-05-11
LOAN000290,CUST002298,BR147,Education Loan,574965,8.76,88,Active,2024-01-29
LOAN000291,CUST001280,BR149,Gold Loan,406104,16.0,12,Active,2014-02-27
LOAN000292,CUST004602,BR061,Auto Loan,773045,13.92,60,Closed,2022-09-02
LOAN000293,CUST002313,BR147,Home Loan,8545901,9.71,222,Active,2018-10-14
LOAN000294,CUST001238,BR120,Auto Loan,580589,9.0,58,Active,2013-10-03
LOAN000295,CUST001727,BR026,Home Loan,3433345,12.69,212,Closed,2026-03-17
LOAN000296,CUST002503,BR027,Auto Loan,962249,10.13,27,Closed,2018-02-09
LOAN000297,CUST001964,BR033,Gold Loan,179033,16.35,17,Active,2025-10-19
LOAN000298,CUST004380,BR031,Auto Loan,396571,14.33,30,Active,2024-01-19
LOAN000299,CUST001067,BR055,Personal Loan,606708,15.37,41,Closed,2026-07-07
LOAN000300,CUST001907,BR093,Personal Loan,506062,8.08,25,Pending Approval,2023-02-23
LOAN000301,CUST000461,BR013,Gold Loan,25607,14.46,11,Pending Approval,2016-03-22
LOAN000302,CUST002070,BR142,Auto Loan,1086281,8.23,73,Closed,2022-10-23
LOAN000303,CUST002813,BR031,Gold Loan,338281,11.38,11,Active,2020-04-24
LOAN000304,CUST001181,BR136,Education Loan,162509,10.82,74,Active,2026-07-08
LOAN000305,CUST002877,BR015,Personal Loan,539706,0.0,16,Closed,2026-07-28
LOAN000306,CUST003154,BR115,Auto Loan,807934,16.11,64,Active,2021-10-21
LOAN000307,CUST003932,BR079,Personal Loan,155774,11.72,32,Active,2021-08-10
LOAN000308,CUST001969,BR121,Home Loan,7743787,9.77,140,Active,2023-08-05
LOAN000309,CUST001872,BR052,Home Loan,6625689,13.41,177,Closed,2020-04-15
LOAN000310,CUST003938,BR150,Personal Loan,326642,12.56,35,Closed,2023-02-26
LOAN000311,CUST002277,BR114,Education Loan,1095697,14.67,116,Active,2026-07-24
LOAN000312,CUST003090,BR114,Home Loan,8195308,9.69,218,Active,2026-07-31
LOAN000313,CUST004637,BR042,Auto Loan,1621795,12.35,64,Closed,2023-06-13
LOAN000314,CUST002921,BR058,Personal Loan,115599,11.85,58,Closed,2025-07-10
LOAN000315,CUST004454,BR014,Business Loan,1528614,9.56,53,Active,2026-02-28
LOAN000316,CUST003500,BR050,Auto Loan,1270611,12.29,26,Closed,2015-10-10
LOAN000317,CUST001400,BR039,Education Loan,690407,15.22,57,Active,2025-04-25
LOAN000318,CUST000230,BR076,Education Loan,1223252,13.64,64,Active,2021-05-22
